country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Hungary,4.58697228124937,6.85805602418033,10.4252886171646,15.9039355806569,30.1284505381446,48.7736314888377,67.781533186479,78.3913938439864,86.3189788962704,92.3967397037118,99.0207540057037,109.831724382957,121.974676223617,117.898258261369,120.31500519099,117.296818539941
Belgium,4.7352238895834,9.63567910746464,17.3397884200397,31.4001330853986,55.3181486374773,75.37754385745,79.010700676076,83.5265824642428,88.1694619278009,92.2268316297474,94.0084160438102,101.891712476935,106.975338154926,110.452194731833,113.461222139595,116.612773822268
Switzerland,9.38558947271073,14.7293068751452,23.8799018353572,42.841815730992,64.7123121557922,73.1936808432091,79.0671642562517,84.6986989874749,85.2406750990425,92.1675866253397,99.5689409307277,109.137282122864,117.476117109746,122.324129328003,125.831900503085,130.062362935927
Greece,4.94670161467965,8.66244048209618,18.8063800943057,35.6933487858227,53.9953233323773,72.1850695157307,84.1143236535627,80.4261010998759,83.646870742508,91.749006582603,97.8655174565258,109.232597088217,122.20665833201,117.379422732125,108.216758253512,106.478946369856
Australia,21.7799075385609,24.7123465053163,26.2505045402484,33.32824217826,44.6767020704223,57.4341761621547,64.6294992805313,72.3130706870725,81.9744623683994,90.2785401734603,95.2551050782878,100.662935982729,102.817645051085,101.359217981673,101.040111397396,108.335354944489
Slovenia,2.09004569137626,4.73798623817224,8.1649666213804,31.8511908425134,61.2268221210171,73.9336194952185,83.7251088348979,87.2003273122191,92.5262730616594,87.8700394189255,90.6656674488005,95.8290949116578,101.819815159461,103.774381929211,104.546036813685,106.561926907556
Qatar,5.61490334138659,8.22183601336644,11.9811671416181,14.8042536016986,20.4508957504522,29.2618948552521,42.7290190379911,57.6182096403979,68.5640414684554,87.3051428404382,94.0140197232852,107.300507896845,102.394309700156,121.968499748086,124.313378549949,123.114412999501
Faeroe Islands,7.52026902524415,10.7461253600329,14.6895712160151,23.8761925893055,37.1007585860132,52.8215194788386,73.9966768916155,80.1019548365352,86.1901283522905,87.0985121637863,103.073749355338,107.405501111752,112.887626808239,117.209254498715,122.045659850538,
Montenegro,,,,,,,,,77.1664922668572,86.6740381562341,102.648331775835,111.949449170491,184.052703100042,205.28159128221,185.276093049771,
New Zealand,13.2567840139541,15.0900914706869,20.8803030022704,36.5435128453722,39.9685642835518,58.5641044017784,61.8125592822575,64.6393761989311,74.2070000220635,85.3870366997354,90.8573030247057,100.442910165032,107.999211746013,108.730152120423,107.826313100142,109.18541563739
Slovak Republic,0.532596690422087,3.71324487768315,8.62336441740164,12.294555990632,23.0115017174406,39.7135773791415,54.055019061929,68.0098025912236,79.003810332341,83.8404090779497,90.2457008529133,111.730658257616,101.447061219149,100.839164866705,108.474604819119,109.349480270683
Russia,0.150213228459844,0.327315631369977,0.505694737570651,0.930586242582283,2.22353175953502,5.30268652654673,12.1006043438494,24.9413431978882,51.0870790714756,83.4241967669801,104.99194345673,119.474202131633,139.367155363358,161.116288744404,166.264882920572,179.308702934644
Andorra,8.41369371579254,13.2778676527232,21.9733524266102,32.1950457138392,36.4251013398521,44.3274589546619,47.4921425778138,71.87097489024,77.5195239866121,82.8882497945768,86.3910659288379,78.0230986607691,77.7480412221321,77.1406718692114,77.176423453997,75.4877270353392
Bermuda,12.9333398162104,16.5768672366511,20.1878763548776,20.4619934457677,20.6894356558551,21.1259348459881,47.3275698870449,62.8387400832613,76.6763164071669,82.208014969593,93.4274343987066,106.973427180553,122.183212954514,131.168791086695,135.815586455398,
Croatia,1.39461241487008,2.60345614099568,3.982331975049,6.49773724560257,22.9273650864393,39.1599466264431,51.7822048435596,56.9337028537758,63.725946292658,82.1636988500189,99.1296161681956,113.750286658706,103.086873105502,105.988690651083,111.923294415817,116.370610343164
South Korea,7.07678619891551,15.2092068378511,30.8133720064054,51.242042340419,58.3122059100074,62.8548967406883,69.6723156850991,72.0469178262221,78.1240783956695,81.5028915618498,85.0413431082045,93.4100269982585,95.5441212063087,99.9589253781431,105.362110464842,108.504517016608
Greenland,7.40607650430314,11.6267805245596,15.9289025721804,24.1351611866767,26.895152679906,28.1620711055945,35.1902221908227,52.3344592217296,68.4297259865711,81.2729498164015,94.0991620111732,115.848977597878,97.3812306994434,93.3058774256596,100.092502094387,102.523736386484
Latvia,1.15730541939733,3.16113938779677,6.920352307342,11.4193332478651,16.8250193293674,27.746143077647,39.0239709999404,52.2464629587979,66.2596061018554,81.1788883067133,95.2298218989307,97.1650436759021,101.206940125872,101.867001565416,102.399580828219,102.935971062019
Bulgaria,0.32138238423713,0.853865963536508,1.56206105469378,4.33864164072056,9.21790451799727,19.502347893954,32.9109074170882,44.6532749447489,60.7218089709058,80.6929732921658,107.333305589946,129.543329743152,137.38070918346,138.608960164525,136.10208354794,140.678123617152
